"","query","fbOrigWeight","ndcg","avgICTF","avgIDF","avgSCQ","deviation","drift","entropy","maxICTF","maxIDF","maxSCQ","minICTF","minIDF","minSCQ","perplexity","scs","varICTF","varIDF","varSCQ"
"1","EA1",0.1,0.5304,9.96737122301303,217.124931620249,5.48677631041717,0.441375633788672,-5.41635394061201e-05,-0.0023900547555704,11.0347003246894,538.612466124661,7.43246250419087,9.0247110798761,49.4705662725576,3.03485480580648,3.41828755810458e-05,8.58107686189314,0.904346845285454,52588.9596204227,4.41061047092864
"2","EA2",0.6,0.4181,9.81666006518415,396.342308691372,5.94210688484988,0.179825643258062,-2.01257511952959e-05,-0.0112189177868444,12.498936552374,1021.84061696658,11.2098655616649,7.08448377001219,7.8790089197225,0.930254097139838,2.72121926856633e-05,8.02490059595609,5.48260478054944,239204.763875426,20.4198295992505
"3","EA3",0.9,0.2896,8.59983798957508,271.678198663951,8.04631731360724,0.141832637739345,-1.80874622630608e-05,-0.0357683061752429,12.6335178138613,2531.82165605096,12.4106690014346,6.44051723588157,4.51481954737769,-0.11166070261766,6.89541007813185e-05,6.2019427167767,3.16727647019277,564219.794219326,12.1824047232823
"4","EA4",0.8,0.6681,8.60882013004112,59.8730813304848,8.02005903703455,0.141659693643244,-1.82631331999384e-05,-0.0202334178069667,9.96714030915969,168.109959822373,11.300674098674,6.65926232149287,11.0079202436998,5.2667928588196,3.96552907017739e-05,6.52937858836128,1.39261083538699,3040.56571936042,4.33691746927134
"5","EA5",0.7,0.7611,9.13852253758341,91.775586887545,7.061069779133,0.236503619052649,-3.8202116671154e-05,-0.00237251146644825,9.85733412070369,157.548949663099,8.68065842443327,8.41971095446312,26.0022241119906,5.44148113383273,7.08605624158206e-05,8.44537535702346,1.03338018405577,8652.27050160938,5.24613475997113
"6","EA6",0.3,0.5334,8.67629394261504,93.3191452023964,7.99865998855727,0.138010629634115,-1.83290073143109e-05,-0.0166328208667525,10.9534077684206,260.738602820597,12.254928779119,6.38383230473648,5.5833579144017,3.84162530390311,5.85166608677611e-05,7.06685603018095,3.18194958245194,12562.7277112907,11.3887580637409
"7","T1",0.8,0.6911,8.98292704438845,388.116998233238,7.53109059658205,0.341732929915986,-4.31461575304159e-05,-0.0128684294716545,12.6504673721751,1491.54221388368,11.4500806607431,6.92369519429403,7.27741415768805,0.400518177326158,5.08256984680782e-05,7.59663268326856,6.85254503304345,541403.643057695,25.5322056909707
"8","T10",0.9,0.5598,8.9861684642265,69.6744714920453,7.6122996719784,0.199597341752302,-2.51763063899247e-05,-0.00729130932845757,9.99437473933712,180.515894641235,10.0690186064905,7.76623272499519,12.469680333783,5.16835788384086,3.92210245065155e-05,7.3767305517924,0.842519928685725,4906.50723963365,4.26339654037867
"9","T11",0.1,0.7142,8.64064221755596,2600.92840476029,7.74758909683791,0.442199317254819,-3.98180152718358e-05,-0.0253714691078009,13.4977652325623,7794.03921568627,12.9324265830218,5.98364418422402,4.2311790472034,-2.10032829394262,3.55004903711503e-05,5.44076089232705,17.7459162335109,20226299.9410303,72.8041654452141
"10","T12",1,0.2549,8.47202412621641,74.9890129340255,8.3214443877851,0.122261378325183,-1.31591244655603e-05,-0.0229658284675207,10.2175611621868,197.366434955313,12.9324265830218,5.98364418422402,4.2311790472034,4.85592821698709,3.96076142753423e-05,5.5938119804238,2.51999948765057,7494.9284437271,9.2668380369062
"11","T13",0.1,0.6063,8.87264230073675,6466.2649263608,7.21178876479714,0.323924853208087,-2.85083767728259e-05,-0.0253626463455058,14.1937654821047,19390.0487804878,12.9324265830218,5.98364418422402,4.2311790472034,-3.70772929006493,3.45769597868829e-05,5.61476095471264,21.2879471798009,125268141.851258,89.49496365633
"12","T14",0.1,0.8252,10.1895590467771,1386.83154190979,4.82165440351413,0.647625834502382,-7.10053702518833e-05,-0.011150240422953,13.3872896162377,4056.08163265306,11.5732489200282,6.69512675091819,8.08633649669932,-1.33671083167178,2.97490223613604e-05,8.58012113434298,8.55353888974682,3541394.8370502,31.7143603166586
"13","T15",0.8,0.7029,10.2812066804378,611.806417801604,4.81593801744385,0.263862718904626,-2.93375605807201e-05,-0.0189051142316294,12.3339024255745,1943.74572127139,12.7639999628024,5.86753634363857,5.62384250252899,0.494947674003521,3.92576301180947e-05,8.33529653138244,5.76751285161132,500361.091156557,20.1703455970106
"14","T2",0.1,0.8483,9.8393272946643,1559.01843212844,5.59332719064031,0.341645249105321,-3.83524186247584e-05,-0.0281944338531552,13.2515285682859,3822.07692307692,13.6573723831104,5.79525029814118,2.47422885757946,-1.14152636324918,4.46736436085123e-05,8.2298893822302,12.5572846402307,3964086.06596417,50.2688913697524
"15","T3",0.6,0.7495,10.6720052193278,19973.1582083374,4.031010786607,0.252328378558919,-2.65270472143759e-05,-0.0114910057698622,16.650501254926,79499.2,12.4106690014346,6.44051723588157,4.51481954737769,-7.5754520365965,4.06451541355174e-05,9.2857108582079,18.5808941612558,1574842889.89439,71.4004454515047
"16","T4",0.8,0.84,8.31856934238289,52.0908045891371,8.7618805804888,0.150248226108851,-2.04124219620049e-05,-0.0236564277548937,10.3651240856156,190.554170661553,11.5732489200282,6.69512675091819,7.8790089197225,4.74349085584052,3.407633792624e-05,6.37265919332757,1.90171649001582,4381.59785141811,6.96114863263758
"17","T5",0.4,0.5666,9.56765996894455,1436.79046386492,6.1241643645495,0.149992522755341,-1.69815510941346e-05,-0.022137955077049,13.809475371133,8932.49438202247,12.4106690014346,6.44051723588157,4.51481954737769,-2.5483748760654,3.12252308021068e-05,7.62174981988924,7.07056939036649,10994494.191762,28.5063592642599
"18","T6",0.7,0.6691,8.71267994561152,1214.50806919813,7.92864737460631,0.352445375910603,-4.47963642465955e-05,-0.0266649813354376,13.5996496821509,4818.13333333333,12.9324265830218,5.98364418422402,4.2311790472034,-1.72124008291489,4.83107357995109e-05,7.32638558449163,12.1686269920247,5771766.0698779,46.0911921974542
"19","T7",1,0.462,8.89951582947251,193.510341304769,7.77966337967557,0.0811570825903281,-9.75044471929688e-06,-0.0280874082400517,12.3868828513024,1311.86798679868,12.4106690014346,6.44051723588157,4.51481954737769,0.792461260102348,2.79475314152122e-05,6.70229125213629,3.80208471083913,181823.169218385,13.7886120555419
"20","T8",1,0.3557,9.2318516875003,139.484441833621,7.21270294536238,0.107952005739958,-1.27381692335668e-05,-0.00864701004394746,11.7979502932596,672.013524936602,10.3831044820208,7.49014275692335,12.0047717560364,2.05032269605419,2.88937210561895e-05,7.44009221827224,1.97290393211464,68227.8210188856,7.61781710285734
"21","T9",0.2,0.7837,8.88547353961898,232.6206688206,7.71932509177941,0.309954199098077,-3.89032425448999e-05,-0.0160706301334163,11.8702579408687,950.947368421053,12.4106690014346,6.44051723588157,4.51481954737769,1.63083479755137,4.44039876280954e-05,7.27603562718488,4.4123672935496,166678.917623657,18.415465448934
